| C1         4.5uF       ~                   ; ~           
| C2         90nF        ~                   ; ~           
| C3         .1          ~                   ; ~           
| C4         .1          ~                   ; ~           
| C5         1nF         ~                   ; ~           
| C6         .1          ~                   ; ~           
| C7         55nF        ~                   ; ~           
| C8         1.5uF       ~                   ; ~           
| C9         55nF        ~                   ; ~           
| C10        1.5uF       ~                   ; ~           
| C11        1nF         ~                   ; ~           
| C12        .1uF        ~                   ; ~           
| C13        .1uF        ~                   ; ~           
| C14        .1uF        ~                   ; ~           
| C15        10nF        ~                   ; ~           
| C16        50pF        ~                   ; ~           
| C17        .2uF        ~                   ; ~           
| C18        50pF        ~                   ; ~           
| C19        .2uF        ~                   ; ~           
| C20        .1          ~                   ; ~           
| C21        90nF        ~                   ; ~           
| C22        185nF       ~                   ; ~           
| C23        1uF         ~                   ; ~           
| C24        186nF       ~                   ; ~           
| C25        100N        ~                   ; ~           
| C26        1uF         ~                   ; ~           
| C27        1uF         ~                   ; ~           
| C28        4.7uF       ~                   ; ~           
| C100       .1uF        ~                   ; ~           
| D1         DIODE       ~                   ; ~           
| D2         DIODE       ~                   ; ~           
| D3         DIODE       ~                   ; ~           
| D4         DIODE       ~                   ; ~           
| D5         DIODE       ~                   ; ~           
| J1         SD          ~                   ; ~           
| J2         USB_B       ~                   ; ~           
| JP1        CONN_3X2                        ;             
| JP2        Expansion connector                    ;             
| JP3        B/LD        ~                   ; ~           
| JP4        JUMPER      ~                   ; ~           
| JP5        SUPP40                          ;             
| JP6        JUMPER      ~                   ; ~           
| P1         CONN_5X2                        ;             
| Q1         2N7002      ~                   ; ~           
| Q2         2N7002      ~                   ; ~           
| R1         4K7         ~                   ; ~           
| R2         4K7         ~                   ; ~           
| R3         10K         ~                   ; ~           
| R4         1 OHM       ~                   ; ~           
| R5         1K          ~                   ; ~           
| R6         1K          ~                   ; ~           
| R7         1K          ~                   ; ~           
| R8         120         ~                   ; ~           
| R9         1K          ~                   ; ~           
| R10        1K          ~                   ; ~           
| R11        1OHM        ~                   ; ~           
| R12        10M         ~                   ; ~           
| R13        330         ~                   ; ~           
| R14        10K         ~                   ; ~           
| R15        10K         ~                   ; ~           
| R16        10K         ~                   ; ~           
| R17        470         ~                   ; ~           
| R18        10K         ~                   ; ~           
| R19        470         ~                   ; ~           
| R20        10K         ~                   ; ~           
| R21        4K7         ~                   ; ~           
| R22        1K          ~                   ; ~           
| R23        1K          ~                   ; ~           
| R24        1K          ~                   ; ~           
| R25        470         ~                   ; ~           
| R26        1K          ~                   ; ~           
| R27        10K         ~                   ; ~           
| R28        1K          ~                   ; ~           
| R29        470         ~                   ; ~           
| R30        10k         ~                   ; ~           
| U1         MC9S12XDP512~                   ; ~           
| U2A        74HC00      ~                   ; ~           
| U2B        74HC00      ~                   ; ~           
| U2C        74HC00      ~                   ; ~           
| U2D        74HC00      ~                   ; ~           
| U3         MCP2551-I/SN                    ;             
| U4         A4970                           ;             
| U5         LD1117LD33C ~                   ; ~           
| U6         FT232RL                         ;             
| X1         8mHz        ~                   ; ~           

